/cropped/4083/peakpoint/055.bmp,2,116,14,136,vessel
/cropped/4083/peakpoint/055.bmp,23,124,30,143,vessel
/cropped/4083/peakpoint/056.bmp,21,141,33,167,vessel
/cropped/4083/peakpoint/056.bmp,2,128,14,151,vessel
/cropped/4083/peakpoint/057.bmp,3,133,15,155,vessel
/cropped/4083/peakpoint/057.bmp,20,150,32,173,vessel
/cropped/4083/peakpoint/058.bmp,3,134,22,152,vessel
/cropped/4083/peakpoint/058.bmp,20,157,35,181,vessel
/cropped/4083/peakpoint/059.bmp,23,165,36,192,vessel
/cropped/4083/peakpoint/059.bmp,27,136,45,160,vessel
/cropped/4083/peakpoint/059.bmp,3,143,12,167,vessel
/cropped/4083/peakpoint/060.bmp,21,176,37,208,vessel
/cropped/4083/peakpoint/060.bmp,27,139,45,168,vessel
/cropped/4083/peakpoint/061.bmp,25,185,38,218,vessel
/cropped/4083/peakpoint/061.bmp,26,139,44,166,vessel
/cropped/4083/peakpoint/062.bmp,27,150,47,178,vessel
/cropped/4083/peakpoint/063.bmp,31,155,44,184,vessel
/cropped/4084/peakpoint/055.bmp,19,119,33,143,vessel
/cropped/4084/peakpoint/055.bmp,2,114,11,129,vessel
/cropped/4084/peakpoint/056.bmp,18,128,31,153,vessel
/cropped/4084/peakpoint/056.bmp,2,113,14,130,vessel
/cropped/4084/peakpoint/057.bmp,2,118,19,141,vessel
/cropped/4084/peakpoint/057.bmp,22,136,33,162,vessel
/cropped/4084/peakpoint/058.bmp,2,119,144,134,vessel
/cropped/4084/peakpoint/058.bmp,20,142,35,170,vessel
/cropped/4084/peakpoint/059.bmp,24,158,36,189,vessel
/cropped/4084/peakpoint/059.bmp,29,131,41,150,vessel
/cropped/4084/peakpoint/059.bmp,4,134,16,163,vessel
/cropped/4084/peakpoint/060.bmp,14,131,43,151,vessel
/cropped/4084/peakpoint/060.bmp,25,160,37,194,vessel
/cropped/4084/peakpoint/061.bmp,27,132,44,157,vessel
/cropped/4084/peakpoint/061.bmp,28,170,40,197,vessel
/cropped/4084/peakpoint/062.bmp,29,140,45,169,vessel
/cropped/4084/peakpoint/063.bmp,34,143,44,176,vessel
/cropped/4084/peakpoint/064.bmp,28,191,44,221,vessel
/cropped/4084/peakpoint/065.bmp,33,194,41,226,vessel
/cropped/4091/peakpoint/055.bmp,18,97,31,124,vessel
/cropped/4091/peakpoint/056.bmp,21,107,32,134,vessel
/cropped/4091/peakpoint/057.bmp,19,116,33,144,vessel
/cropped/4091/peakpoint/058.bmp,22,128,33,157,vessel
/cropped/4091/peakpoint/059.bmp,24,132,35,161,vessel
/cropped/4091/peakpoint/060.bmp,26,105,42,134,vessel
/cropped/4091/peakpoint/061.bmp,26,116,44,144,vessel
/cropped/4091/peakpoint/062.bmp,29,119,43,151,vessel
